Input,,,,Output,,,,Effeciency
Voltage [V],Current [A],Power [W],,Voltage [V],Current [A],Power [W],,Effeciency [%]
30,0.0775,2.325,,15,0.1,1.5,,64.52
30,0.134,4.02,,15,0.2,3,,74.63
30,0.189,5.67,,15,0.3,4.5,,79.37
30,0.243,7.29,,15,0.4,6,,82.30
30,0.298,8.94,,15,0.5,7.5,,83.89
30,0.353,10.59,,15,0.6,9,,84.99
30,0.409,12.27,,15,0.7,10.5,,85.57
30,0.465,13.95,,15,0.8,12,,86.02
30,0.521,15.63,,15,0.9,13.5,,86.37
30,0.579,17.37,,15,1,15,,86.36
30,0.636,19.08,,15,1.1,16.5,,86.48
30,0.694,20.82,,15,1.2,18,,86.46
30,0.75,22.5,,15,1.3,19.5,,86.67
30,0.809,24.27,,15,1.4,21,,86.53
30,0.868,26.04,,15,1.5,22.5,,86.41
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Input,,,,Output,,,,Effeciency
Voltage [V],Current [A],Power [W],,Voltage [V],Current [A],Power [W],,Effeciency [%]
20,0.216,4.32,,30,0.1,3,,69.44
20,0.377,7.54,,30,0.2,6,,79.58
20,0.54,10.8,,30,0.3,9,,83.33
20,0.706,14.12,,30,0.4,12,,84.99
20,0.876,17.52,,30,0.5,15,,85.62
20,1.047,20.94,,30,0.6,18,,85.96
20,1.221,24.42,,30,0.7,21,,86.00
20,1.4,28,,30,0.8,24,,85.71
20,1.584,31.68,,30,0.9,27,,85.23
20,1.778,35.56,,30,1,30,,84.36
20,,0,,30,1.1,33,,#DIV/0!
20,,0,,30,1.2,36,,#DIV/0!
20,,0,,30,1.3,39,,#DIV/0!
20,,0,,30,1.4,42,,#DIV/0!
20,,0,,30,1.5,45,,#DIV/0!
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Input,,,,Output,,,,Effeciency
Voltage [V],Current [A],Power [W],,Voltage [V],Current [A],Power [W],,Effeciency [%]
20,0.046,0.92,,5,0.1,0.5,,54.35
20,0.076,1.52,,5,0.2,1,,65.79
20,0.107,2.14,,5,0.3,1.5,,70.09
20,0.138,2.76,,5,0.4,2,,72.46
20,0.168,3.36,,5,0.5,2.5,,74.40
20,0.198,3.96,,5,0.6,3,,75.76
20,0.228,4.56,,5,0.7,3.5,,76.75
20,0.259,5.18,,5,0.8,4,,77.22
20,0.291,5.82,,5,0.9,4.5,,77.32
20,0.323,6.46,,5,1,5,,77.40
20,0.355,7.1,,5,1.1,5.5,,77.46
20,0.387,7.74,,5,1.2,6,,77.52
20,0.419,8.38,,5,1.3,6.5,,77.57
20,0.452,9.04,,5,1.4,7,,77.43
20,0.484,9.68,,5,1.5,7.5,,77.48
,,,,,,,,
,,,,,,,,
,,,,,,,,
Input,,,,Output,,,,Effeciency
Voltage [V],Current [A],Power [W],,Voltage [V],Current [A],Power [W],,Effeciency [%]
40,0.0302,1.208,,5,0.1,0.5,,41.39
40,0.0458,1.832,,5,0.2,1,,54.59
40,0.0613,2.452,,5,0.3,1.5,,61.17
40,0.0767,3.068,,5,0.4,2,,65.19
40,0.092,3.68,,5,0.5,2.5,,67.93
40,0.107,4.28,,5,0.6,3,,70.09
40,0.123,4.92,,5,0.7,3.5,,71.14
40,0.138,5.52,,5,0.8,4,,72.46
40,0.153,6.12,,5,0.9,4.5,,73.53
40,0.168,6.72,,5,1,5,,74.40
40,0.184,7.36,,5,1.1,5.5,,74.73
40,0.199,7.96,,5,1.2,6,,75.38
40,0.214,8.56,,5,1.3,6.5,,75.93
40,0.229,9.16,,5,1.4,7,,76.42
40,0.245,9.8,,5,1.5,7.5,,76.53
,,,,,,,,
,,,,,,,,
,,,,,,,,
Input,,,,Output,,,,Effeciency
Voltage [V],Current [A],Power [W],,Voltage [V],Current [A],Power [W],,Effeciency [%]
40,0.116,4.64,,30,0.1,3,,64.66
40,0.196,7.84,,30,0.2,6,,76.53
40,0.278,11.12,,30,0.3,9,,80.94
40,0.358,14.32,,30,0.4,12,,83.80
40,0.44,17.6,,30,0.5,15,,85.23
40,0.521,20.84,,30,0.6,18,,86.37
40,0.601,24.04,,30,0.7,21,,87.35
40,0.684,27.36,,30,0.8,24,,87.72
40,0.766,30.64,,30,0.9,27,,88.12
40,0.849,33.96,,30,1,30,,88.34
40,0.934,37.36,,30,1.1,33,,88.33
40,1.019,40.76,,30,1.2,36,,88.32
40,1.103,44.12,,30,1.3,39,,88.40
40,1.196,47.84,,30,1.4,42,,87.79
40,1.281,51.24,,30,1.5,45,,87.82
